StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek_x,PreviousGrade_x,ExtracurricularActivities,ParentalSupport,FinalGrade,StudyHoursPerWeek_y,PreviousGrade_y,Pass/Fail
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,59.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,65.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,56.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,61.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,9.0,64.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,61.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,61.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,57.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,62.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,55.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,55.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,63.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,57.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,62.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,57.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,65.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,57.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,55.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,57.0,0.0
